title,price,area_sqft,price_per_sqft,location,bedrooms,bathrooms,property_type,undervalued,avg_price_per_sqft_location,url
"2700SF Sprawling LOFT in the HEART of Tribeca! Spread out and Relax!$14,950TriBeCa",14950,2700.0,5.54,Tribeca,,,Other,True,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-2700sf-sprawling-loft-in-the/7906241639.html
"3800SF, FIVE BR MAJESTY!  Once in a blue moon chance to RENT THIS$45,999Greenwich Village",45999,3800.0,12.1,Greenwich Village,,,Other,True,797.72,https://newyork.craigslist.org/mnh/reb/d/new-york-3800sf-five-br-majesty-once-in/7906632890.html
"Commercial condo space , 22,000 sf$2,000,000New York",2000000,22000.0,90.91,New York,,,Commercial,True,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-commercial-condo-space-sf/7907116035.html
"Prime Vacant Lot for Sale - 17,600 Sq Ft Buildable - Ocean Ave, Brookl$4,250,000Brooklyn",4250000,17600.0,241.48,Brooklyn,,,Land,True,246.74,https://newyork.craigslist.org/brk/reo/d/brooklyn-prime-vacant-lot-for-sale-sq/7911200399.html
"Perfection on Prince! TRIPLEX LOFT PH with 1000 SF PRIVATE ROOFDECK$21,999SoHo",21999,1000.0,22.0,Soho,,,Multi-Family,False,22.0,https://newyork.craigslist.org/mnh/reb/d/new-york-perfection-on-prince-triplex/7906242801.html
"For Sale 10,000 Sq Ft Commercial Building$400,000Nanticoke",400000,10000.0,40.0,Nanticoke,,,Commercial,False,40.0,https://newyork.craigslist.org/que/reo/d/nanticoke-for-sale-sq-ft-commercial/7911284802.html
"Prime Development Opportunity - 11,905 Sq Ft$3,000,000Brooklyn",3000000,11905.0,251.99,Brooklyn,,,Other,False,246.74,https://newyork.craigslist.org/brk/reo/d/brooklyn-prime-development-opportunity/7909455785.html
"Taco business in E Harlem 800sf, 900sf bsmt$240,000New York",240000,800.0,300.0,New York,,,Other,False,195.45,https://newyork.craigslist.org/mnh/reo/d/new-york-taco-business-in-harlem-800sf/7910741174.html
"1000SF Convertible 2BR for UNDER $800K? Yes, Indeed!$775,000Upper East Side",775000,1000.0,775.0,Upper East Side,2.0,,Other,False,775.0,https://newyork.craigslist.org/mnh/reb/d/new-york-1000sf-convertible-2br-for/7907531216.html
"Step off keyed elevator to your 2100SF LOFT!$2,800,000TriBeCa",2800000,2100.0,1333.33,Tribeca,,,Other,False,1054.62,https://newyork.craigslist.org/mnh/reb/d/new-york-step-off-keyed-elevator-to/7911157381.html
